hora;latitude;longitude;velocidade_gps;altitude;tensao;corrente;velocidade;acel_x;acel_y;acel_z;gyro_x;gyro_y;gyro_z
2023-11-08 14:07:02.334;-15.98838;-48.04394;6.387;0;45.88;86.66;30;5.00149;0.794875;7.51061;0.133098;-0.0205176;0.133631
2023-11-08 14:07:03.300;-15.98839;-48.04392;6.578;0;45.94;86.66;31;0.732626;2.20267;6.73249;-0.00492956;-0.0704793;0.0933951
2023-11-08 14:07:04.263;-15.98842;-48.04389;7.723;0;46.06;84.22;31;5.26485;1.72861;5.69102;-0.0703461;0.0868668;0.0806049
2023-11-08 14:07:05.332;-15.98845;-48.04386;8.285;0;46.06;84.22;33;2.27689;1.95127;7.57047;0.0916631;0.104453;0.0786064
2023-11-08 14:07:06.295;-15.98848;-48.04383;8.857;0;46.12;79.34;31;4.54659;-1.27372;8.91601;0.03917;0.00919296;0.0538254
2023-11-08 14:07:07.313;-15.98850;-48.04379;9.38;0;46.12;80.56;32;6.19619;1.78368;7.68299;-0.0610199;-0.124305;-0.240882
2023-11-08 14:07:08.283;-15.98851;-48.04374;9.472;0;46;81.78;32;2.37026;-1.08697;7.2688;-0.177064;-0.0471639;-0.140559
2023-11-08 14:07:09.237;-15.98853;-48.04370;9.535;0;45.94;85.44;33;9.09078;1.45567;13.4482;-0.00572894;-0.0819372;-0.291243
2023-11-08 14:07:10.336;-15.98855;-48.04366;9.74;0;45.94;86.66;30;7.24007;3.69425;8.41801;-0.0427672;0.0598208;-0.209306
2023-11-08 14:07:11.294;-15.98856;-48.04361;9.745;0;46;83;30;0.806846;1.29287;4.41491;-0.179462;0.00519602;-0.00159877
2023-11-08 14:07:12.243;-15.98856;-48.04361;9.745;0;46.12;76.9;31;4.51546;2.77488;10.3094;0.0137228;0.0431669;-0.0163874
2023-11-08 14:07:13.286;-15.98857;-48.04356;10.001;0;46.48;64.69;32;4.14197;0.579397;8.62152;0.000666156;0.035706;-0.0173201
2023-11-08 14:07:14.362;-15.98859;-48.04352;9.53;0;46.6;59.81;33;6.34463;0.905008;5.48272;-0.0744763;0.00319755;0.0291776
2023-11-08 14:07:15.332;-15.98862;-48.04349;9.742;0;46.78;53.71;36;8.57842;2.29604;5.86101;0.128968;0.0923292;-0.113247
2023-11-08 14:07:16.288;-15.98866;-48.04346;10.007;0;46.84;54.93;36;7.25683;0.550666;4.96797;-0.0752757;-0.0127902;-0.0750092
2023-11-08 14:07:17.359;-15.98870;-48.04344;9.771;0;46.96;47.6;38;4.79798;1.95846;11.303;-0.0498285;-0.0210505;-0.0540919
2023-11-08 14:07:18.324;-15.98874;-48.04343;9.854;0;47.02;47.6;39;1.78607;1.37427;6.76841;0.00319755;-0.102322;-0.00319755
2023-11-08 14:07:19.299;-15.98879;-48.04343;10.353;0;47.08;46.38;39;5.26006;1.72861;10.6231;0.0425008;0.0634181;0.0417014
2023-11-08 14:07:20.267;-15.98884;-48.04342;10.937;0;47.14;45.16;40;5.50188;-0.459687;13.8936;0.0425008;-0.157746;-0.00266462
2023-11-08 14:07:21.381;-15.98889;-48.04342;11.342;0;48.34;3.66;41;5.13077;-1.54187;5.74608;0.0373047;0.0448989;-0.145355
2023-11-08 14:07:22.350;-15.98895;-48.04342;11.673;0;48.4;7.32;43;7.31907;-0.799663;9.55287;-0.010392;-0.0102588;-0.0385038
2023-11-08 14:07:23.311;-15.98900;-48.04342;11.828;0;48.46;7.32;43;7.25204;1.75734;10.4435;-0.0355727;-0.0201179;-0.0303767
2023-11-08 14:07:24.406;-15.98906;-48.04342;12.08;0;48.7;1.22;41;3.13401;2.75573;5.67905;-0.042634;0.0186524;0.0500949
2023-11-08 14:07:25.389;-15.98906;-48.04342;12.08;0;48.94;-2.44;41;7.87692;0.234632;14.5591;0.0607534;-0.0435666;-0.0471639
2023-11-08 14:07:26.363;-15.98911;-48.04342;12.287;0;49;-3.66;38;5.54258;1.31681;6.05972;0.0249142;0.123905;0.0752757
2023-11-08 14:07:27.315;-15.98917;-48.04342;12.54;0;49;-2.44;37;7.53934;0.588974;5.15472;-0.0427672;0.00799387;0.00679479
2023-11-08 14:07:28.333;-15.98923;-48.04342;12.73;0;49.06;-2.44;34;7.28316;0.718261;9.3326;-0.134164;0.0343737;-0.237418
2023-11-08 14:07:29.303;-15.98929;-48.04342;12.506;0;49.06;-2.44;30;8.27436;2.0638;5.63356;-0.201979;0.00572894;-0.374513
2023-11-08 14:07:30.388;-15.98935;-48.04342;12.297;0;49.12;-2.44;29;9.03572;2.74376;8.5904;-0.172801;-0.102855;-0.277654
2023-11-08 14:07:31.356;-15.98940;-48.04342;12.208;0;49.18;-2.44;26;5.73411;1.83635;7.63271;-0.236352;-0.0486294;-0.324018
2023-11-08 14:07:32.325;-15.98946;-48.04342;11.889;0;48.88;6.1;24;4.23534;2.34392;4.72137;-0.0993905;0.0165207;-0.0527596
2023-11-08 14:07:33.412;-15.98951;-48.04343;11.341;0;47.98;34.17;25;5.66708;0.184354;8.59279;0.0345069;0.0712787;0.148153
2023-11-08 14:07:34.383;-15.98956;-48.04343;10.612;0;48.1;25.63;25;7.64229;-0.0694318;10.4914;0.0627519;0.0290444;0.202645
2023-11-08 14:07:35.377;-15.98961;-48.04343;10.14;0;47.08;61.03;28;3.03345;0.505177;8.25042;0.123905;0.0606202;0.375579
2023-11-08 14:07:36.324;-15.98961;-48.04343;10.14;0;47.02;56.15;26;6.71813;-0.794875;11.6861;0.26966;-0.0847351;0.177997
2023-11-08 14:07:37.306;-15.98965;-48.04345;10.211;0;47.08;53.71;32;8.16423;-0.380678;6.74207;0.13896;0.0373047;0.104853
2023-11-08 14:07:38.337;-15.98968;-48.04347;8.648;0;47.08;51.26;30;2.71981;1.58257;8.24084;0.105919;0.0563568;0.176798
2023-11-08 14:07:39.308;-15.98969;-48.04350;7.861;0;47.26;43.94;35;7.47949;-0.304064;10.1897;0.0389035;0.0214502;0.0571562
2023-11-08 14:07:40.273;-15.98970;-48.04354;7.471;0;48.76;-3.66;29;6.0286;0.222661;7.28795;0.0399694;0.055291;0.0389035
2023-11-08 14:07:41.298;-15.98970;-48.04357;7.305;0;48.88;-2.44;30;5.97353;0.656011;6.64391;-0.029977;-0.0267795;0.0556907
2023-11-08 14:07:42.396;-15.98971;-48.04361;7.448;0;48.94;-3.66;27;7.52019;-1.90578;7.92481;-0.0496953;0.0664824;0.00452986
2023-11-08 14:07:43.364;-15.98972;-48.04364;7.425;0;49;-2.44;27;7.52737;-3.01909;5.45399;0.00972588;0.0185191;-0.00492956
2023-11-08 14:07:44.355;-15.98973;-48.04367;7.111;0;49.06;-3.66;26;3.5506;2.44687;5.25288;-0.04783;0.0867335;0.0734104
2023-11-08 14:07:45.360;-15.98976;-48.04369;6.35;0;49.12;-2.44;24;4.95839;0.134075;9.44034;-0.0337075;0.0129234;0.00173201
2023-11-08 14:07:46.466;-15.98979;-48.04370;6.883;0;49.12;-3.66;22;4.81235;1.84354;10.0652;-0.0425008;0.0538254;0.0410352
2023-11-08 14:07:47.316;-15.98979;-48.04370;6.883;0;49.18;-2.44;20;6.61518;-3.15795;9.94551;0.168138;0.0667489;0.270859
2023-11-08 14:07:48.307;-15.98983;-48.04371;8.19;0;49.18;-3.66;17;7.434;-2.09493;10.4722;0.231423;-0.0085268;0.375712
2023-11-08 14:07:49.277;-15.98988;-48.04371;8.916;0;49.24;-2.44;17;5.31513;-0.775721;6.67743;0.244479;0.0472971;0.415149
2023-11-08 14:07:50.398;-15.98992;-48.04371;8.77;0;49.24;-2.44;15;5.96874;0.272939;7.0198;0.137894;0.0413017;0.271525
2023-11-08 14:07:51.423;-15.98996;-48.04371;8.485;0;49.3;-2.44;12;7.19697;-0.533907;8.47787;0.0752757;0.028245;0.102855
2023-11-08 14:07:52.283;-15.98999;-48.04371;8.036;0;49.3;-2.44;8;5.97353;0.205901;7.89847;0.000932619;0.0287779;0.0183859
2023-11-08 14:07:53.382;-15.99003;-48.04371;7.364;0;49.3;-3.66;3;6.04057;-0.244209;7.91044;0.0122573;0.0287779;0.0101256
2023-11-08 14:07:54.334;-15.99006;-48.04371;6.694;0;49.36;-2.44;1;5.76524;-0.0814029;8.1355;0.00892649;0.0278453;0.0106585
2023-11-08 14:07:55.425;-15.99009;-48.04372;6.334;0;49.36;-3.66;0;5.66947;-0.0814029;8.23127;0.00413017;0.0233155;0.0125237
2023-11-08 14:07:56.434;-15.99009;-48.04372;6.334;0;49.36;-2.44;0;5.50906;-0.244209;8.53772;0.00546248;0.0263798;0.0113247
2023-11-08 14:07:57.292;-15.99011;-48.04372;5.194;0;49.36;-2.44;0;5.55694;-0.258574;8.1331;-0.0225161;0.0442328;0.0290444
